climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
3,50.7827,6.0941,SWR,275,16,106,16,267,288,191,214
98,51.189,8.4671,SWR,271,8,112,9,254,282,199,230
140,52.6861,11.4272,SWR,267,16,107,16,259,281,196,223
164,53.0316,13.9908,SWR,266,16,120,16,258,279,200,226
183,54.6792,13.4343,SWR,270,16,110,15,257,290,207,248
198,51.3745,11.292,SWR,264,16,106,14,248,275,193,229
222,50.5907,12.714,SWR,274,16,116,16,254,278,208,229
282,49.8742,10.9206,SWR,268,11,110,10,260,288,197,220
501,50.5296,10.0485,SWR,272,16,114,15,250,277,201,237
524,51.6333,12.3167,SWR,261,16,105,16,251,271,190,211
591,53.3911,10.6878,SWR,269,16,110,16,248,284,201,236
596,54.0028,11.1908,SWR,267,13,104,15,263,273,203,232
640,50.8685,12.7237,SWR,270,10,111,15,253,286,199,229
662,52.2915,10.4464,SWR,272,16,111,16,264,283,205,230
717,51.3873,8.5737,SWR,279,8,119,9,254,282,199,230
722,51.7986,10.6183,SWR,265,5,105,8,255,271,202,231
729,50.8282,10.454,SWR,271,11,114,11,261,283,205,221
735,52.1692,12.7334,SWR,266,16,113,15,253,287,190,232
821,49.1443,10.5024,SWR,264,4,108,7,252,262,202,212
822,51.2066,14.2371,SWR,267,8,109,8,254,278,194,226
853,50.7913,12.872,SWR,274,9,116,12,252,276,193,223
882,50.7813,10.786,SWR,273,11,115,12,253,279,198,219
891,53.8713,8.7058,SWR,275,16,115,16,266,287,206,233
963,52.5881,8.3424,SWR,283,15,109,14,270,299,198,235
1048,51.128,13.7543,SWR,257,6,119,5,241,270,202,217
1078,51.296,6.7686,SWR,278,15,102,15,259,289,191,213
1133,52.1014,11.2322,SWR,273,13,108,14,257,273,202,236
1246,51.8418,8.0607,SWR,268,16,109,16,257,282,189,211
1346,47.8749,8.0038,SWR,277,7,113,7,273,280,196,211
1358,50.4283,12.9535,SWR,274,16,116,16,254,278,208,229
1412,50.8969,13.2205,SWR,272,16,112,16,246,286,198,228
1468,48.4537,8.4091,SWR,269,9,105,9,246,264,197,219
1532,53.6865,11.0608,SWR,265,4,112,4,244,275,211,239
1544,52.5129,11.3941,SWR,260,5,111,5,252,268,198,208
1550,47.4831,11.0623,SWR,270,14,117,14,258,280,207,244
1580,49.9859,7.9549,SWR,274,14,117,16,263,286,186,222
1612,50.8813,12.1289,SWR,266,8,105,8,252,287,198,221
1639,50.6017,8.6439,SWR,270,8,113,8,257,282,203,220
1684,51.1622,14.9506,SWR,267,4,113,5,262,271,205,221
1691,51.5002,9.9507,SWR,263,10,111,11,241,267,199,217
1757,54.0967,13.4056,SWR,270,16,110,15,257,290,207,248
1766,52.1344,7.6969,SWR,280,9,107,9,275,293,201,222
1780,50.4316,11.9443,SWR,283,8,113,12,263,291,215,240
1820,50.85,11.6667,SWR,267,14,109,15,257,277,207,230
1832,49.1129,13.1338,SWR,279,16,115,16,255,283,213,233
1957,51.5138,11.9499,SWR,265,5,106,8,253,277,187,215
2034,50.9574,11.9757,SWR,268,8,105,8,252,287,198,221
2115,54.175,7.892,SWR,284,11,113,14,260,306,199,243
2163,51.5448,10.8748,SWR,265,14,111,14,254,278,213,249
2228,47.8983,8.1055,SWR,268,5,116,5,258,274,194,232
2261,50.3122,11.8761,SWR,283,8,118,12,263,291,215,240
2290,47.8009,11.0108,SWR,272,14,118,14,258,280,207,244
2354,51.4379,14.2426,SWR,278,16,109,16,260,294,200,218
2429,53.9897,9.5696,SWR,267,10,105,14,238,284,206,231
2468,50.9352,12.6206,SWR,271,10,112,10,261,285,199,224
2483,51.1803,8.4891,SWR,271,8,112,9,254,282,199,230
2514,54.6667,9.9333,SWR,270,16,113,16,253,278,209,234
2522,49.0382,8.3641,SWR,274,16,106,16,256,286,188,213
2559,47.7233,10.3348,SWR,270,14,111,14,258,280,207,244
2561,49.7167,8.1167,SWR,266,8,112,8,261,277,203,215
2597,50.2241,10.0792,SWR,256,12,114,12,245,264,192,221
2625,52.739,12.4984,SWR,266,6,106,6,241,282,198,211
2667,50.8646,7.1575,SWR,270,5,112,9,262,291,188,227
2712,47.6774,9.1901,SWR,282,15,111,15,269,298,183,235
2878,51.391,11.8788,SWR,279,4,106,4,268,297,198,212
2895,49.3442,11.5664,SWR,275,8,111,10,261,282,191,231
2925,51.3933,10.3123,SWR,270,13,109,13,258,277,201,224
2928,51.3151,12.4462,SWR,273,3,102,5,261,269,189,230
2932,51.4348,12.2396,SWR,263,3,106,5,261,269,189,230
2947,51.1333,8.0348,SWR,278,5,117,5,257,290,214,227
2985,50.9383,14.2093,SWR,267,8,108,8,254,278,194,226
2995,52.8719,13.3927,SWR,262,12,105,11,252,270,183,210
3015,52.2085,14.118,SWR,260,13,112,12,250,283,189,218
3023,52.5181,7.3081,SWR,277,15,104,16,259,292,202,223
3032,55.011,8.4125,SWR,268,13,102,13,262,277,212,240
3098,51.2452,7.6425,SWR,275,11,112,11,264,289,193,230
3126,52.1029,11.5827,SWR,268,16,110,16,258,274,199,213
3158,52.5468,14.5452,SWR,262,9,111,8,260,266,191,205
3167,50.662,7.9602,SWR,270,4,119,4,256,261,216,236
3196,53.3223,11.9319,SWR,266,7,108,7,247,263,205,218
3213,50.911,11.3794,SWR,267,14,109,15,257,277,207,230
3231,50.5612,10.3771,SWR,269,13,106,16,259,280,192,233
3287,49.7176,9.0997,SWR,276,13,111,14,258,285,209,233
3302,51.0418,11.0062,SWR,265,11,102,12,253,279,198,219
3314,52.1458,11.9563,SWR,260,15,111,16,246,276,196,221
3347,51.7384,9.7899,SWR,270,8,115,8,261,275,212,231
3366,48.2791,12.5024,SWR,266,16,108,16,251,275,187,221
3437,51.3437,13.5355,SWR,269,16,109,16,261,283,196,222
3478,53.5468,13.1914,SWR,267,4,109,4,250,276,214,219
3487,51.607,11.1183,SWR,271,12,109,14,263,280,207,263
3491,50.441,11.2401,SWR,270,16,115,16,260,282,204,237
3513,50.5002,11.1344,SWR,270,8,113,9,195,290,200,227
3552,52.9037,12.8072,SWR,269,10,113,10,255,279,202,233
3631,53.7123,7.1519,SWR,277,8,115,9,263,288,218,234
3637,51.5158,10.7739,SWR,268,6,109,3,258,286,214,233
3660,50.3601,6.8697,SWR,276,5,117,4,256,268,217,232
3684,51.2873,11.0183,SWR,265,11,106,12,253,279,198,219
3730,47.3986,10.276,SWR,280,14,113,14,258,280,207,244
3750,48.0579,9.9479,SWR,269,8,110,8,260,286,197,229
3761,49.207,9.5175,SWR,271,4,107,4,261,284,203,210
3791,53.1763,8.1824,SWR,276,16,107,16,267,291,204,229
3811,51.296,13.0928,SWR,262,7,105,8,258,269,194,221
3815,52.2553,8.0534,SWR,273,3,105,3,259,283,201,209
3987,52.3813,13.0622,SWR,272,14,107,14,264,287,208,231
4039,53.7331,9.8776,SWR,269,5,110,5,261,279,213,235
4079,51.1765,11.4183,SWR,259,13,106,11,249,281,201,229
4104,49.0424,12.1021,SWR,270,7,105,8,265,275,196,224
4177,48.9726,8.3301,SWR,274,4,106,6,265,287,193,202
4271,54.1803,12.0808,SWR,270,5,115,8,248,275,214,238
4317,51.4543,13.8629,SWR,265,4,107,5,255,277,195,213
4332,50.6563,11.3894,SWR,267,14,109,15,257,277,207,230
4372,50.8063,10.2294,SWR,271,11,114,11,261,283,205,221
4393,54.3279,8.6031,SWR,272,7,106,7,260,280,209,233
4466,54.5275,9.5487,SWR,268,15,106,16,249,289,205,230
4501,50.6546,10.7693,SWR,278,15,115,15,258,286,196,222
4625,53.6425,11.3872,SWR,269,5,112,7,265,274,210,230
4642,52.8911,11.7297,SWR,266,12,106,15,246,276,198,222
4752,50.3746,11.1828,SWR,270,16,115,16,260,282,204,237
4768,50.6574,9.9135,SWR,275,3,107,3,267,280,216,230
4887,48.6657,9.8646,SWR,268,16,113,16,254,281,204,244
4911,48.8275,12.5598,SWR,279,14,105,14,267,277,191,211
4933,48.7091,9.2147,SWR,275,16,108,16,267,285,200,222
4974,50.8167,10.5833,SWR,277,11,115,11,261,283,205,221
4983,50.8619,11.2453,SWR,265,11,102,12,253,279,198,219
5082,51.527,14.5578,SWR,278,16,114,16,260,294,200,218
5100,49.7479,6.6582,SWR,265,12,119,13,254,274,186,229
5103,49.3544,7.7948,SWR,272,15,119,15,258,298,195,219
5142,53.7444,14.0697,SWR,272,10,111,10,247,278,213,222
5250,48.0908,7.6353,SWR,277,7,103,7,273,280,196,211
5392,51.0532,14.3887,SWR,271,8,118,8,254,278,194,226
5397,49.6663,12.1845,SWR,272,4,118,4,257,281,200,222
5404,48.4025,11.6946,SWR,272,11,112,11,267,281,199,222
5440,49.0116,10.9308,SWR,272,5,111,5,266,275,195,218
5546,52.1207,12.4585,SWR,266,16,113,15,253,287,190,232
5629,51.8892,12.6445,SWR,262,16,109,16,253,273,193,212
5705,49.7703,9.9577,SWR,267,5,112,8,259,279,199,215
5750,51.0314,12.1495,SWR,266,8,112,8,252,287,198,221
5839,53.3881,7.2287,SWR,269,11,111,11,255,271,211,228
5856,48.5451,13.3531,SWR,269,5,106,5,258,282,196,208
5906,49.5062,8.5585,SWR,282,16,108,16,271,299,180,222
7341,50.09,8.7862,SWR,270,16,108,16,262,274,197,222
7501,54.7833,9.4333,SWR,270,11,108,11,252,270,206,228
7502,54.4,10.15,SWR,270,7,113,9,253,293,208,236
7503,54.3333,10.15,SWR,270,7,113,9,253,293,208,236
7504,54.3167,10.05,SWR,272,7,113,9,253,293,208,236
7505,53.9,10.8,SWR,274,3,105,3,272,277,212,232
7506,53.8833,10.6667,SWR,274,3,105,3,272,277,212,232
7507,53.85,10.7,SWR,274,3,105,3,272,277,212,232
7508,54.0833,9.9833,SWR,270,7,104,9,253,293,208,236
7509,54.4333,9.7,SWR,271,15,109,16,257,290,207,236
7510,54.3333,9.7,SWR,266,3,109,3,255,258,214,227
7511,54.4333,10.1167,SWR,272,16,113,16,253,278,209,234
7512,54.4333,10.1,SWR,272,16,113,16,253,278,209,234
7513,54.6167,9.9833,SWR,268,16,105,16,253,278,209,234
7514,54.4667,9.8333,SWR,268,16,105,16,253,278,209,234
7515,54.4833,9.7,SWR,268,15,106,16,249,289,205,230
7516,54.4,9.9667,SWR,268,3,113,3,255,258,214,227
7517,54.4833,9.7,SWR,268,15,106,16,249,289,205,230
7518,54.4,9.85,SWR,268,3,113,3,255,258,214,227
7519,54.4167,9.8833,SWR,268,3,113,3,255,258,214,227
7520,54.4,9.9333,SWR,268,3,113,3,255,258,214,227
7521,54.4333,9.8167,SWR,268,3,109,3,255,258,214,227
7522,54.3667,10.0333,SWR,272,7,113,9,253,293,208,236
7523,54.6667,10,SWR,270,16,113,16,253,278,209,234
7524,54.4333,10.0167,SWR,272,16,113,16,253,278,209,234
