Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
8273,53.1,10.7333,SB,85,20,221,19,73,93,214,233
8279,52.8,10.6333,SB,81,22,210,20,67,89,199,219
8280,52.8333,10.7333,SB,89,36,213,35,70,106,193,228
8282,52.9,10.45,SB,82,6,218,2,79,85,217,219
8283,52.9167,10.7667,SB,89,0,218,13,89,89,211,224
8284,52.9833,10.7833,SB,84,24,221,44,68,92,192,236
8285,52.9667,10.5667,SB,84,26,217,42,69,95,194,236
8288,53.0833,10.2833,SB,83,42,216,24,60,102,202,226
8292,53.2667,9.2,SB,91,22,222,31,79,101,209,240
8293,53.4833,9.1333,SB,90,37,225,30,70,107,210,240
8294,53.25,9.3833,SB,89,21,220,20,76,97,214,234
8296,53.35,9.1833,SB,73,0,215,0,73,73,215,215
8300,53.3833,9.2167,SB,91,31,221,18,73,104,212,230
8301,53.45,9.1167,SB,90,35,213,15,71,106,205,220
8304,53.8167,8.7667,SB,99,32,236,37,83,115,218,255
8309,53.6333,9.1,SB,87,25,215,24,70,95,206,230
8317,53.75,8.8167,SB,94,15,225,29,86,101,214,243
8318,53.75,8.7833,SB,75,0,211,0,75,75,211,211
8319,53.6833,9.15,SB,97,23,220,33,83,106,199,232
8324,53.15,8.9333,SB,110,4,231,18,108,112,222,240
8326,53.2167,8.8,SB,102,24,224,49,89,113,204,253
8333,53.0667,9.3167,SB,82,29,216,33,67,96,202,235
8334,53.1333,9.5,SB,82,22,222,22,73,95,211,233
8336,53.1667,9.6667,SB,89,23,220,21,76,99,212,233
8337,53.0833,9.6,SB,86,29,219,40,69,98,198,238
8339,53.2,9.5333,SB,74,22,219,16,64,86,213,229
8340,53.0167,9.4833,SB,93,51,219,22,62,113,210,232
8342,53.1167,9.4167,SB,85,24,224,0,75,99,224,224
8348,53.5667,9.5167,SB,86,16,220,34,79,95,202,236
8350,53.4,9.5,SB,99,22,220,35,88,110,206,241
8352,53.6833,9.4333,SB,104,0,221,0,104,104,221,221
8353,53.6667,9.3833,SB,105,37,223,39,88,125,201,240
8354,53.45,9.3833,SB,81,23,218,27,72,95,206,233
8355,53.4667,9.7,SB,94,13,216,25,86,99,205,230
8360,53.5167,9.4833,SB,94,63,210,42,62,125,191,233
8361,53.6167,9.3167,SB,94,42,228,23,72,114,214,237
8362,53.4167,9.4667,SB,76,0,223,0,76,76,223,223
8363,53.7167,9.2833,SB,96,30,247,0,75,105,247,247
8365,53.4833,9.3333,SB,83,25,215,19,71,96,207,226
8368,53.8,9.25,SB,100,0,235,4,100,100,233,237
8370,53.3667,9.6,SB,94,20,222,40,81,101,202,242
8371,53.6,9.4833,SB,86,30,220,23,74,104,211,234
8373,53.0167,9.05,SB,82,19,220,23,73,92,211,234
8375,53.05,9.1833,SB,109,2,207,0,108,110,207,207
8376,52.8833,9.3167,SB,86,27,225,29,70,97,211,240
8380,52.9333,9.1833,SB,92,45,239,20,65,110,228,248
8381,52.9,9.2333,SB,93,22,211,21,82,104,198,219
8382,53.6283,8.8324,SB,95,32,221,28,76,108,209,237
