climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
3,50.7827,6.0941,WRa,242,7,202,7,230,247,185,220
98,51.189,8.4671,WRa,236,5,214,8,235,239,205,226
140,52.6861,11.4272,WRa,235,16,204,16,229,242,197,231
164,53.0316,13.9908,WRa,235,3,206,3,234,236,203,208
183,54.6792,13.4343,WRa,232,16,212,16,226,241,201,227
198,51.3745,11.292,WRa,240,9,206,15,233,250,184,223
222,50.5907,12.714,WRa,232,11,214,11,225,239,204,229
282,49.8742,10.9206,WRa,235,16,202,16,226,245,182,222
501,50.5296,10.0485,WRa,232,16,206,16,224,251,185,231
524,51.6333,12.3167,WRa,235,11,198,12,224,246,187,208
591,53.3911,10.6878,WRa,235,16,205,16,228,246,197,217
596,54.0028,11.1908,WRa,240,13,206,13,230,254,196,217
640,50.8685,12.7237,WRa,236,14,214,14,227,248,199,234
662,52.2915,10.4464,WRa,238,16,203,11,229,249,196,214
717,51.3873,8.5737,WRa,236,5,214,8,235,239,205,226
722,51.7986,10.6183,WRa,237,7,210,7,224,267,203,213
729,50.8282,10.454,WRa,240,11,203,13,236,249,188,221
735,52.1692,12.7334,WRa,237,13,200,13,225,248,191,209
821,49.1443,10.5024,WRa,233,14,205,15,228,241,190,217
822,51.2066,14.2371,WRa,233,9,203,9,232,236,193,216
853,50.7913,12.872,WRa,232,11,214,11,225,239,204,229
882,50.7813,10.786,WRa,228,13,201,12,220,246,189,212
891,53.8713,8.7058,WRa,238,8,211,8,227,256,194,232
963,52.5881,8.3424,WRa,240,8,201,8,236,243,191,211
1048,51.128,13.7543,WRa,235,4,204,4,224,251,201,207
1078,51.296,6.7686,WRa,244,3,207,4,239,249,193,217
1133,52.1014,11.2322,WRa,233,16,205,16,223,243,197,213
1246,51.8418,8.0607,WRa,241,11,201,11,233,252,194,215
1346,47.8749,8.0038,WRa,230,5,209,5,223,235,195,226
1358,50.4283,12.9535,WRa,232,11,214,11,225,239,204,229
1412,50.8969,13.2205,WRa,232,16,211,16,222,248,195,228
1468,48.4537,8.4091,WRa,233,3,206,3,217,253,200,215
1532,53.6865,11.0608,WRa,229,16,209,16,223,238,196,232
1544,52.5129,11.3941,WRa,238,5,199,5,236,241,195,205
1550,47.4831,11.0623,WRa,240,8,206,9,235,248,193,223
1580,49.9859,7.9549,WRa,238,16,202,16,234,245,192,212
1612,50.8813,12.1289,WRa,235,16,199,16,222,254,186,213
1639,50.6017,8.6439,WRa,243,15,206,15,231,255,194,218
1684,51.1622,14.9506,WRa,233,6,207,12,226,239,192,224
1691,51.5002,9.9507,WRa,230,10,205,10,215,238,192,213
1757,54.0967,13.4056,WRa,234,13,207,16,220,250,199,215
1766,52.1344,7.6969,WRa,238,8,202,9,227,254,188,214
1780,50.4316,11.9443,WRa,236,16,211,16,224,260,198,230
1820,50.85,11.6667,WRa,230,16,206,16,225,238,195,224
1832,49.1129,13.1338,WRa,235,16,204,16,219,246,196,212
1957,51.5138,11.9499,WRa,235,11,198,12,224,246,187,208
2034,50.9574,11.9757,WRa,242,9,209,11,225,266,193,222
2115,54.175,7.892,WRa,239,16,208,16,227,253,196,226
2163,51.5448,10.8748,WRa,229,14,209,14,225,242,198,225
2228,47.8983,8.1055,WRa,230,5,209,5,223,235,195,226
2261,50.3122,11.8761,WRa,228,16,214,16,220,238,202,229
2290,47.8009,11.0108,WRa,240,8,206,9,235,248,193,223
2354,51.4379,14.2426,WRa,233,9,203,9,232,236,193,216
2429,53.9897,9.5696,WRa,243,9,209,15,238,256,199,224
2468,50.9352,12.6206,WRa,236,15,203,15,228,250,189,211
