climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
8203,53.0333,11.2667,SW,83,3,226,3,79.0,88.0,209.0,246.0
8212,53.0333,11.5333,SW,100,11,246,11,89.0,107.0,226.0,263.0
8213,53.0833,11.1833,SW,75,3,228,3,67.0,86.0,216.0,244.0
8218,52.9667,11.15,SW,90,3,225,3,81.0,98.0,216.0,238.0
8228,53.0,11.1513,SW,89,8,231,7,72.0,101.0,226.0,237.0
8232,53.05,11.2167,SW,91,5,231,4,86.0,96.0,220.0,239.0
8238,53.2,10.55,SW,83,11,230,11,65.0,105.0,219.0,244.0
8245,53.1333,10.2167,SW,80,6,236,5,74.0,95.0,225.0,249.0
8253,53.1167,9.8,SW,100,10,230,11,88.0,108.0,220.0,240.0
8255,53.1,10.0667,SW,79,11,235,11,67.0,94.0,215.0,258.0
8258,52.9167,9.9667,SW,89,5,242,5,71.0,112.0,232.0,258.0
8260,53.0333,9.8333,SW,91,3,234,5,70.0,122.0,224.0,245.0
8261,53.1333,10.6,SW,91,3,226,3,79.0,100.0,216.0,238.0
8263,52.95,10.7667,SW,92,5,228,6,85.0,102.0,217.0,239.0
8269,53.0333,10.4167,SW,90,3,239,3,83.0,99.0,233.0,248.0
8279,52.8,10.6333,SW,99,7,229,9,90.0,107.0,212.0,242.0
8288,53.0833,10.2833,SW,92,11,231,11,78.0,106.0,219.0,247.0
8301,53.45,9.1167,SW,99,7,222,4,87.0,112.0,210.0,230.0
8304,53.8167,8.7667,SW,96,10,244,10,80.0,113.0,228.0,269.0
8332,53.3333,8.9167,SW,96,4,236,3,84.0,110.0,223.0,246.0
8348,53.5667,9.5167,SW,84,5,236,4,74.0,92.0,225.0,249.0
8352,53.6833,9.4333,SW,95,5,240,5,83.0,112.0,230.0,246.0
8353,53.6667,9.3833,SW,97,11,238,11,85.0,110.0,225.0,265.0
8354,53.45,9.3833,SW,95,6,240,8,80.0,105.0,222.0,262.0
8355,53.4667,9.7,SW,93,10,229,11,87.0,103.0,205.0,243.0
8360,53.5167,9.4833,SW,83,5,222,7,65.0,96.0,203.0,243.0
8361,53.6167,9.3167,SW,87,6,238,6,74.0,100.0,225.0,248.0
8363,53.7167,9.2833,SW,94,4,251,3,76.0,104.0,248.0,257.0
8368,53.8,9.25,SW,97,7,243,6,71.0,109.0,226.0,257.0
8379,53.1167,9.15,SW,82,5,231,4,71.0,94.0,223.0,242.0
8380,52.9333,9.1833,SW,89,9,238,9,65.0,116.0,225.0,249.0
8388,53.4333,8.6167,SW,113,10,222,11,94.0,121.0,209.0,234.0
8393,53.45,8.6167,SW,101,5,244,7,90.0,109.0,226.0,265.0
8411,52.55,7.95,SW,89,10,233,11,67.0,111.0,219.0,250.0
8416,52.6667,7.95,SW,101,11,228,7,88.0,121.0,220.0,241.0
8424,52.6,6.85,SW,98,10,230,7,82.0,121.0,220.0,246.0
8430,52.2833,7.2833,SW,93,7,232,8,80.0,108.0,223.0,241.0
8431,52.3167,7.2333,SW,87,9,239,5,78.0,95.0,225.0,253.0
8438,52.6,7.4333,SW,89,10,230,10,74.0,100.0,220.0,245.0
8447,52.2,8.35,SW,103,10,244,11,93.0,112.0,228.0,259.0
8454,52.7833,7.2333,SW,84,6,228,3,66.0,108.0,227.0,230.0
8455,52.6667,7.4833,SW,78,9,226,8,67.0,92.0,219.0,236.0
8459,52.25,7.95,SW,95,10,224,11,78.0,111.0,198.0,234.0
8477,52.3167,8.3667,SW,94,3,235,3,86.0,107.0,232.0,242.0
8482,53.35,7.1833,SW,90,9,253,7,62.0,107.0,236.0,277.0
8495,53.4667,7.35,SW,99,3,243,3,93.0,106.0,230.0,253.0
8497,53.4667,7.5167,SW,88,5,229,4,80.0,105.0,210.0,243.0
8517,53.4833,7.1833,SW,90,11,246,11,75.0,112.0,231.0,262.0
8522,53.55,7.3,SW,104,11,238,11,95.0,124.0,227.0,254.0
8524,53.6,7.2167,SW,104,4,222,5,98.0,109.0,214.0,239.0
8527,53.5333,7.2833,SW,100,9,235,8,90.0,117.0,224.0,249.0
8529,53.6,7.15,SW,98,5,240,5,76.0,118.0,222.0,260.0
8530,53.35,7.1167,SW,90,9,245,9,70.0,105.0,230.0,274.0
8534,53.6,7.6333,SW,100,10,236,11,87.0,120.0,224.0,246.0
8535,53.65,7.6167,SW,92,3,228,5,80.0,109.0,204.0,242.0
8539,53.7,7.7,SW,105,4,230,4,100.0,110.0,227.0,233.0
8545,53.5833,7.7667,SW,87,8,243,9,72.0,102.0,211.0,258.0
8554,52.25,10.6667,SW,86,3,241,3,84.0,91.0,224.0,256.0
8557,52.2833,10.6167,SW,90,10,229,11,64.0,112.0,216.0,244.0
8558,52.9667,9.0167,SW,93,7,233,7,85.0,105.0,219.0,246.0
8559,52.2167,10.3667,SW,82,11,238,11,65.0,104.0,225.0,253.0
8561,51.9,9.85,SW,82,7,245,7,75.0,95.0,231.0,270.0
8565,51.95,10.2167,SW,78,3,238,3,74.0,83.0,217.0,262.0
8569,51.8833,10.1667,SW,100,3,241,6,96.0,108.0,230.0,259.0
8573,51.9667,10.35,SW,86,11,229,10,76.0,104.0,202.0,246.0
8576,52.0167,10.4333,SW,84,6,246,5,75.0,98.0,220.0,263.0
8577,52.0167,10.4,SW,93,7,230,11,69.0,130.0,201.0,249.0
8579,51.95,10.5667,SW,95,8,234,9,87.0,108.0,214.0,248.0
8583,52.3167,11.0167,SW,90,6,237,4,73.0,110.0,216.0,251.0
8584,52.3667,10.9333,SW,87,9,228,9,70.0,112.0,218.0,245.0
8591,52.35,10.9667,SW,89,3,229,3,69.0,107.0,218.0,240.0
8592,52.25,10.85,SW,84,9,232,9,43.0,99.0,221.0,245.0
8594,52.2833,10.75,SW,78,9,230,8,62.0,114.0,203.0,266.0
8595,52.15,10.95,SW,76,11,225,11,34.0,109.0,213.0,242.0
8598,52.4333,10.85,SW,86,11,229,11,73.0,106.0,213.0,245.0
8599,52.1833,10.9333,SW,84,10,236,10,69.0,105.0,219.0,258.0
8600,52.1,10.85,SW,79,9,239,9,63.0,108.0,218.0,263.0
8602,52.15,10.4667,SW,82,6,232,7,39.0,108.0,216.0,242.0
8604,52.2,10.3333,SW,91,3,230,3,78.0,101.0,219.0,245.0
8605,51.8833,10.55,SW,86,4,246,3,71.0,106.0,244.0,249.0
8606,52.1833,10.7167,SW,81,9,237,9,41.0,114.0,223.0,252.0
8607,52.1,10.6333,SW,84,10,228,10,69.0,112.0,216.0,245.0
8608,52.1667,10.5167,SW,110,4,236,6,94.0,124.0,215.0,254.0
8609,52.1333,10.7,SW,85,11,236,11,69.0,117.0,223.0,251.0
8611,52.1167,10.7167,SW,80,11,232,10,41.0,114.0,222.0,244.0
8613,52.0667,10.7833,SW,82,10,243,10,66.0,97.0,225.0,260.0
8616,53.15,8.2,SW,84,11,236,9,71.0,101.0,229.0,252.0
8621,53.25,8.2,SW,111,6,233,6,100.0,126.0,210.0,252.0
8626,53.25,8.1,SW,105,5,240,5,96.0,113.0,237.0,246.0
8636,52.8167,8.1167,SW,94,10,223,10,88.0,104.0,212.0,234.0
8652,53.6833,7.9333,SW,96,7,244,6,85.0,106.0,224.0,274.0
8671,52.9833,8.2833,SW,81,3,226,5,63.0,100.0,214.0,242.0
8675,53.0667,8.1667,SW,90,5,238,6,77.0,104.0,227.0,258.0
8678,52.75,8.2,SW,92,3,230,3,90.0,95.0,223.0,240.0
8680,52.65,8.1167,SW,97,11,234,9,88.0,107.0,211.0,250.0
8724,51.2,6.45,SW,73,11,229,11,43.0,94.0,220.0,246.0
8749,51.0833,6.5833,SW,66,4,228,4,54.0,85.0,224.0,241.0
8754,51.1,6.5,SW,91,10,222,8,60.0,115.0,213.0,228.0
8756,51.3667,6.4167,SW,69,7,231,3,50.0,93.0,225.0,245.0
8764,51.25,6.4833,SW,76,9,233,8,36.0,109.0,209.0,249.0
8765,51.3833,6.45,SW,83,10,220,11,75.0,96.0,198.0,235.0
8767,51.2333,6.55,SW,64,4,228,4,53.0,77.0,222.0,235.0
8780,51.7833,6.45,SW,76,6,215,5,69.0,91.0,206.0,222.0
8806,51.35,6.95,SW,97,8,237,9,81.0,111.0,222.0,254.0
8807,51.5167,6.3167,SW,84,4,219,7,82.0,88.0,213.0,227.0
8815,51.5833,6.25,SW,78,10,220,7,70.0,90.0,209.0,238.0
8817,51.45,6.6333,SW,84,6,228,5,62.0,95.0,216.0,240.0
8818,51.55,6.6,SW,84,4,221,4,63.0,95.0,211.0,231.0
8820,51.45,6.5833,SW,63,4,222,3,55.0,72.0,212.0,233.0
8822,51.5833,6.5333,SW,88,8,231,9,72.0,105.0,224.0,240.0
8823,51.6167,6.5333,SW,90,8,231,8,77.0,110.0,224.0,240.0
8824,51.65,6.6167,SW,85,7,225,9,59.0,108.0,215.0,240.0
8830,50.9167,6.9167,SW,76,5,215,5,62.0,89.0,190.0,226.0
8833,50.85,6.7667,SW,71,8,232,8,42.0,95.0,215.0,245.0
8842,50.6667,7.15,SW,90,9,226,9,58.0,123.0,210.0,243.0
8843,50.7,7.1667,SW,72,6,225,5,58.0,86.0,213.0,241.0
8849,50.6667,6.8,SW,84,11,225,10,58.0,115.0,208.0,236.0
8851,50.6833,6.6667,SW,77,10,226,10,67.0,92.0,212.0,241.0
8852,50.6167,6.65,SW,68,4,228,4,56.0,81.0,221.0,240.0
662,52.2914,10.4465,SW,83,10,228,10,67.0,105.0,220.0,240.0
8869,50.8167,6.95,SW,73,11,225,11,45.0,95.0,210.0,240.0
11207,48.8167,11.85,SW,91,11,215,10,73.0,101.0,194.0,235.0
8893,50.8833,7.0667,SW,98,11,217,11,87.0,112.0,205.0,230.0
8951,51.0167,6.2833,SW,75,10,226,10,65.0,92.0,215.0,245.0
8952,51.0833,6.4167,SW,76,7,234,8,44.0,94.0,224.0,248.0
8958,50.8833,6.45,SW,79,9,219,9,54.0,95.0,209.0,233.0
8963,50.6,6.3167,SW,93,8,245,7,80.0,108.0,239.0,249.0
8971,50.4333,6.65,SW,94,9,230,10,72.0,109.0,211.0,260.0
8978,50.4167,6.4333,SW,105,5,244,4,97.0,113.0,237.0,252.0
8990,50.9167,6.1167,SW,80,9,219,11,53.0,96.0,207.0,234.0
8994,51.0167,6.05,SW,92,8,223,11,75.0,109.0,194.0,241.0
9004,52.0333,7.1,SW,90,5,224,8,76.0,108.0,220.0,229.0
9012,51.7,7.8333,SW,103,11,228,11,90.0,115.0,215.0,260.0
9015,51.8042,8.2049,SW,80,11,229,11,60.0,105.0,216.0,243.0
9016,51.8167,7.95,SW,85,4,219,4,76.0,105.0,207.0,229.0
9019,51.8333,7.05,SW,83,4,221,4,78.0,87.0,213.0,231.0
9024,51.85,6.7,SW,84,5,224,4,74.0,97.0,215.0,237.0
9027,51.95,7.1833,SW,87,4,221,4,76.0,97.0,205.0,240.0
9031,51.85,7.2167,SW,87,4,230,5,82.0,100.0,215.0,242.0
9034,51.9833,7.15,SW,76,4,237,3,70.0,87.0,223.0,244.0
9035,51.7,7.75,SW,101,11,223,10,78.0,113.0,209.0,236.0
9062,52.0833,7.3,SW,82,4,211,4,52.0,103.0,193.0,224.0
9071,52.3167,7.8,SW,108,6,228,6,90.0,123.0,218.0,240.0
9076,52.3333,7.5167,SW,105,5,228,5,97.0,115.0,220.0,248.0
9080,51.95,7.9833,SW,85,5,227,5,63.0,96.0,224.0,235.0
9083,51.8667,7.9167,SW,76,5,225,8,54.0,91.0,216.0,235.0
9084,51.9667,8.2333,SW,90,4,227,6,80.0,100.0,217.0,242.0
9087,51.5833,7.0667,SW,94,10,240,10,76.0,123.0,229.0,253.0
9088,51.6167,7.2,SW,85,10,228,10,70.0,110.0,216.0,246.0
9091,51.6,7.1,SW,75,4,228,4,63.0,84.0,220.0,242.0
9092,51.6,6.9167,SW,72,6,221,6,56.0,81.0,210.0,234.0
9097,51.6667,6.95,SW,85,10,227,10,70.0,109.0,213.0,246.0
9109,52.0833,8.5167,SW,90,4,233,6,80.0,105.0,216.0,258.0
9112,51.6833,8.6,SW,106,5,221,5,90.0,116.0,204.0,234.0
9117,51.9462,8.8856,SW,90,4,221,6,87.0,95.0,202.0,240.0
9147,51.7167,9.1833,SW,98,4,236,4,93.0,106.0,230.0,248.0
9166,52.1,8.9167,SW,98,10,235,11,76.0,115.0,222.0,251.0
