climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
8203,53.0333,11.2667,ALF,66,5,223,5,123,136,217,280
8212,53.0333,11.5333,ALF,66,7,223,7,106,124,259,273
8227,53.1167,11.2,ALF,66,7,223,7,102,120,232,263
8228,53,11.1513,ALF,66,8,223,8,110,123,249,287
8243,53.15,10.85,ALF,66,4,223,3,130,135,237,262
8248,53.0833,10,ALF,66,8,223,8,106,121,251,282
8255,53.1,10.0667,ALF,66,15,223,15,97,138,254,305
8256,52.9333,10.15,ALF,66,13,223,13,109,125,258,284
8260,53.0333,9.8333,ALF,66,12,223,12,98,117,246,298
8261,53.1333,10.6,ALF,66,14,223,14,108,128,244,295
8266,52.9667,10.4667,ALF,66,8,223,8,124,141,240,281
8279,52.8,10.6333,ALF,66,14,223,14,111,133,238,281
8284,52.9833,10.7833,ALF,66,6,223,6,118,124,263,281
8285,52.9667,10.5667,ALF,66,5,223,4,103,119,250,279
8293,53.4833,9.1333,ALF,66,16,223,16,107,119,242,286
8294,53.25,9.3833,ALF,66,14,223,14,104,130,232,279
8300,53.3833,9.2167,ALF,66,9,223,9,104,118,258,294
8301,53.45,9.1167,ALF,66,16,223,16,106,134,246,284
8304,53.8167,8.7667,ALF,66,12,223,12,108,136,256,283
8324,53.15,8.9333,ALF,66,3,223,3,124,127,267,278
140,52.6861,11.4272,ALF,66,9,223,9,107,127,249,271
8333,53.0667,9.3167,ALF,66,15,223,15,107,117,246,274
8334,53.1333,9.5,ALF,66,12,223,12,105,117,262,290
8340,53.0167,9.4833,ALF,66,6,223,6,114,124,261,298
8348,53.5667,9.5167,ALF,66,16,223,16,106,118,235,282
8350,53.4,9.5,ALF,66,7,223,7,104,124,247,279
8353,53.6667,9.3833,ALF,66,15,223,15,108,127,247,288
8360,53.5167,9.4833,ALF,66,8,223,8,89,116,258,278
8363,53.7167,9.2833,ALF,66,3,223,3,102,108,258,273
8365,53.4833,9.3333,ALF,66,10,223,10,102,126,236,281
8369,53.4333,9.3667,ALF,66,7,223,7,107,122,234,272
8373,53.0167,9.05,ALF,66,7,223,7,116,124,250,297
183,54.6792,13.4343,ALF,66,9,223,8,110,120,253,291
8376,52.8833,9.3167,ALF,66,11,223,10,110,120,260,272
8392,53.4167,8.5833,ALF,66,7,223,7,109,122,250,285
8393,53.45,8.6167,ALF,66,8,223,8,105,118,251,283
8402,52.9667,7.7667,ALF,66,12,223,12,105,118,253,272
8403,53,7.3,ALF,66,10,223,10,101,131,261,289
8418,52.4,7.85,ALF,66,3,223,3,109,116,254,269
8420,52.4167,7.7333,ALF,66,13,223,12,105,122,232,277
8422,52.5333,7.9333,ALF,66,5,223,5,107,130,258,283
8423,52.3,7.1667,ALF,66,7,223,7,122,134,242,286
8426,52.3,7.1167,ALF,66,4,223,4,111,129,270,283
8430,52.2833,7.2833,ALF,66,12,223,12,110,128,242,296
8438,52.6,7.4333,ALF,66,15,223,15,111,118,245,278
8448,52.2,8.4667,ALF,66,12,223,12,104,130,241,296
8452,52.7667,7.5,ALF,66,16,223,16,104,118,239,299
8459,52.25,7.95,ALF,66,12,223,12,97,125,255,286
8465,52.15,8.05,ALF,66,13,223,13,109,117,260,288
8466,52.1,8.0833,ALF,66,14,223,14,107,123,242,287
8467,52.3167,8.0333,ALF,66,11,223,11,97,119,249,292
8475,52.2833,8.4167,ALF,66,9,223,9,109,118,234,287
8492,53.4,7.3333,ALF,66,4,223,4,114,119,284,294
8511,53.2833,7.4333,ALF,66,11,223,11,113,135,266,297
8530,53.35,7.1167,ALF,66,12,223,11,104,145,260,285
8531,53.5333,7.7,ALF,66,15,223,15,113,131,264,293
8535,53.65,7.6167,ALF,66,15,223,15,118,136,262,316
8542,53.6167,7.4667,ALF,66,5,223,5,114,128,264,283
8558,52.9667,9.0167,ALF,66,8,223,12,97,124,268,293
8561,51.9,9.85,ALF,66,10,223,10,111,124,251,281
8563,51.8667,10.0167,ALF,66,12,223,13,103,122,237,282
8565,51.95,10.2167,ALF,66,14,223,14,110,134,231,287
8584,52.3667,10.9333,ALF,66,9,223,9,106,131,246,281
8585,52.2333,11.0167,ALF,66,7,223,7,103,119,259,293
8594,52.2833,10.75,ALF,66,6,223,6,95,111,232,263
8606,52.1833,10.7167,ALF,66,12,223,12,115,134,243,295
8616,53.15,8.2,ALF,66,16,223,16,108,119,256,281
8618,53.1333,7.9833,ALF,66,3,223,10,97,119,259,282
8623,53.2452,7.9053,ALF,66,8,223,9,112,126,252,286
8631,53.2,7.9833,ALF,66,7,223,7,116,131,274,291
8644,52.7333,7.7667,ALF,66,7,223,7,110,126,242,283
8652,53.6833,7.9333,ALF,66,13,223,13,109,127,261,283
8653,53.5833,7.9,ALF,66,14,223,14,116,134,262,291
8664,53.3833,8.05,ALF,66,4,223,4,116,120,261,277
8665,53.3833,8.1,ALF,66,3,223,3,120,131,253,291
8666,53.4167,7.9833,ALF,66,15,223,15,108,130,249,284
8670,53.1,8.5333,ALF,66,11,223,11,102,128,265,295
