climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
3,50.7827,6.0941,WB,270,15,193,16,263,288,179,207
98,51.189,8.4671,WB,269,16,200,16,256,282,188,226
140,52.6861,11.4272,WB,261,16,189,16,248,272,174,200
164,53.0316,13.9908,WB,257,16,190,16,248,267,180,200
183,54.6792,13.4343,WB,256,15,199,16,247,268,187,209
198,51.3745,11.292,WB,264,8,196,13,237,283,183,222
222,50.5907,12.714,WB,256,16,200,16,242,274,189,214
282,49.8742,10.9206,WB,263,16,189,16,254,277,178,200
501,50.5296,10.0485,WB,257,5,186,7,255,262,174,192
524,51.6333,12.3167,WB,257,16,184,16,251,263,168,193
591,53.3911,10.6878,WB,260,16,191,16,252,270,183,200
596,54.0028,11.1908,WB,263,7,195,8,258,268,185,204
640,50.8685,12.7237,WB,264,14,200,14,256,282,187,225
662,52.2915,10.4464,WB,264,16,194,16,253,273,180,211
717,51.3873,8.5737,WB,262,9,201,9,251,266,195,209
722,51.7986,10.6183,WB,256,12,193,16,248,264,182,203
729,50.8282,10.454,WB,262,11,193,13,241,273,181,208
735,52.1692,12.7334,WB,264,10,191,12,249,275,171,206
821,49.1443,10.5024,WB,260,16,194,16,256,268,181,204
822,51.2066,14.2371,WB,257,9,191,9,245,264,180,204
853,50.7913,12.872,WB,264,14,200,14,256,282,187,225
882,50.7813,10.786,WB,263,14,194,13,244,280,181,204
891,53.8713,8.7058,WB,259,4,200,5,253,266,190,213
963,52.5881,8.3424,WB,269,15,196,13,254,288,184,205
1048,51.128,13.7543,WB,254,5,185,3,241,260,179,193
1078,51.296,6.7686,WB,268,3,199,3,265,271,192,204
1133,52.1014,11.2322,WB,259,16,196,16,250,271,187,211
1246,51.8418,8.0607,WB,262,11,196,11,256,274,179,206
1346,47.8749,8.0038,WB,263,7,189,7,257,270,181,199
1358,50.4283,12.9535,WB,256,16,200,16,242,274,189,214
1412,50.8969,13.2205,WB,258,16,197,16,232,281,182,209
1468,48.4537,8.4091,WB,256,16,191,16,248,264,181,205
1532,53.6865,11.0608,WB,253,16,195,16,242,267,182,205
1544,52.5129,11.3941,WB,266,4,188,5,252,282,185,193
1550,47.4831,11.0623,WB,268,13,195,14,257,275,183,210
1580,49.9859,7.9549,WB,266,16,194,16,261,274,183,205
1612,50.8813,12.1289,WB,254,14,189,16,241,261,178,199
1639,50.6017,8.6439,WB,263,15,196,15,236,290,172,209
1684,51.1622,14.9506,WB,257,6,194,8,253,269,180,208
1691,51.5002,9.9507,WB,262,7,191,8,258,265,182,203
1757,54.0967,13.4056,WB,255,14,192,16,244,276,182,202
1766,52.1344,7.6969,WB,268,6,190,6,244,298,178,205
1780,50.4316,11.9443,WB,257,16,199,16,240,277,189,223
1820,50.85,11.6667,WB,261,16,191,16,249,277,180,202
1832,49.1129,13.1338,WB,270,16,197,16,255,277,182,204
1957,51.5138,11.9499,WB,260,9,187,10,251,267,178,196
2034,50.9574,11.9757,WB,271,8,198,9,264,284,181,209
2115,54.175,7.892,WB,255,15,197,16,244,266,184,214
2163,51.5448,10.8748,WB,255,14,196,14,248,269,188,208
2228,47.8983,8.1055,WB,259,16,200,16,253,265,189,209
2261,50.3122,11.8761,WB,262,16,200,16,258,268,189,209
2290,47.8009,11.0108,WB,268,13,195,14,257,275,183,210
2354,51.4379,14.2426,WB,257,9,191,9,245,264,180,204
2429,53.9897,9.5696,WB,259,5,202,5,253,263,193,208
2468,50.9352,12.6206,WB,260,15,192,15,254,268,176,209
2483,51.1803,8.4891,WB,269,16,200,16,256,282,188,226
2514,54.6667,9.9333,WB,262,6,201,7,253,283,198,207
2522,49.0382,8.3641,WB,256,16,194,16,241,263,185,203
2559,47.7233,10.3348,WB,261,12,192,12,257,270,175,204
2561,49.7167,8.1167,WB,262,8,189,8,257,271,185,198
2597,50.2241,10.0792,WB,253,13,187,13,229,272,177,201
2625,52.739,12.4984,WB,262,6,192,6,257,265,182,201
2667,50.8646,7.1575,WB,267,16,186,16,262,278,175,207
2712,47.6774,9.1901,WB,265,16,185,16,256,272,176,200
2878,51.391,11.8788,WB,262,7,190,8,257,269,180,206
2895,49.3442,11.5664,WB,259,15,199,15,232,273,186,214
2925,51.3933,10.3123,WB,258,13,198,13,253,265,191,204
2928,51.3151,12.4462,WB,261,3,187,8,256,265,175,198
2932,51.4348,12.2396,WB,256,12,186,12,249,262,171,194
2947,51.1333,8.0348,WB,263,16,201,16,259,272,194,213
2985,50.9383,14.2093,WB,263,14,194,14,251,282,184,205
2995,52.8719,13.3927,WB,263,5,185,7,255,270,172,199
3015,52.2085,14.118,WB,262,12,187,16,251,277,170,197
3023,52.5181,7.3081,WB,269,15,193,16,250,291,181,214
3032,55.011,8.4125,WB,263,15,202,14,254,274,196,211
3098,51.2452,7.6425,WB,264,12,194,12,260,271,179,219
3126,52.1029,11.5827,WB,263,16,190,16,251,278,179,201
3158,52.5468,14.5452,WB,254,3,191,3,246,259,190,193
3167,50.662,7.9602,WB,258,4,199,4,253,263,195,203
3196,53.3223,11.9319,WB,259,16,191,16,250,267,182,204
3213,50.911,11.3794,WB,267,11,197,13,259,279,181,214
3231,50.5612,10.3771,WB,259,16,192,16,241,275,174,206
3287,49.7176,9.0997,WB,261,6,196,6,248,282,186,213
3302,51.0418,11.0062,WB,263,14,194,13,244,280,181,204
3314,52.1458,11.9563,WB,267,14,188,16,248,283,170,207
3347,51.7384,9.7899,WB,259,7,200,8,254,268,193,210
3366,48.2791,12.5024,WB,264,16,188,16,257,277,176,200
3437,51.3437,13.5355,WB,264,16,187,16,258,268,172,201
3478,53.5468,13.1914,WB,256,4,189,4,250,261,185,192
3487,51.607,11.1183,WB,260,8,202,8,257,267,197,210
3491,50.441,11.2401,WB,259,16,195,16,244,268,172,209
3513,50.5002,11.1344,WB,265,8,194,8,246,284,171,209
3552,52.9037,12.8072,WB,263,10,189,10,253,271,181,201
3631,53.7123,7.1519,WB,261,14,202,14,253,278,186,240
3637,51.5158,10.7739,WB,255,14,196,14,248,269,188,208
3660,50.3601,6.8697,WB,268,6,200,6,262,273,196,213
3684,51.2873,11.0183,WB,258,16,192,16,253,268,178,206
3730,47.3986,10.276,WB,261,12,192,12,257,270,175,204
3750,48.0579,9.9479,WB,259,6,193,8,253,272,181,200
3761,49.207,9.5175,WB,268,7,193,7,259,277,186,199
3791,53.1763,8.1824,WB,268,16,194,16,258,282,183,205
3811,51.296,13.0928,WB,260,9,185,10,254,274,169,196
3815,52.2553,8.0534,WB,263,3,191,3,254,271,181,198
3987,52.3813,13.0622,WB,258,5,188,6,252,267,172,196
4039,53.7331,9.8776,WB,261,3,198,3,261,263,189,213
4079,51.1765,11.4183,WB,264,8,196,13,237,283,183,222
4104,49.0424,12.1021,WB,262,7,192,7,258,269,179,200
4177,48.9726,8.3301,WB,268,11,186,11,251,281,177,201
4271,54.1803,12.0808,WB,255,14,202,14,242,268,186,214
4317,51.4543,13.8629,WB,258,5,188,4,253,266,183,192
4332,50.6563,11.3894,WB,267,11,197,13,259,279,181,214
4372,50.8063,10.2294,WB,262,11,193,13,241,273,181,208
4393,54.3279,8.6031,WB,263,15,202,14,254,274,196,211
4466,54.5275,9.5487,WB,263,15,197,16,255,278,183,206
4501,50.6546,10.7693,WB,259,15,190,15,251,270,181,203
4625,53.6425,11.3872,WB,265,6,198,7,259,270,190,209
4642,52.8911,11.7297,WB,259,12,187,15,253,266,177,200
