climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
8402,52.9667,7.7667,GM,111,3,290,3,107,115,282,301
8475,52.2833,8.4167,GM,115,3,287,3,110,122,273,296
8644,52.7333,7.7667,GM,111,5,288,5,108,119,267,304
8800,51.4167,6.9667,GM,124,3,273,3,115,130,261,291
8822,51.5833,6.5333,GM,112,11,275,11,105,122,259,287
8841,50.7667,7.1333,GM,119,4,281,4,115,129,265,290
8869,50.8167,6.95,GM,117,10,277,10,107,134,253,300
8931,50.7667,6.0333,GM,121,3,288,3,120,123,284,291
9030,51.8333,7.3,GM,113,7,281,6,110,119,263,302
9074,52.2667,7.7833,GM,110,7,278,7,94,125,265,294
9161,51.9833,8.6667,GM,116,5,287,6,112,123,279,297
9178,52.4333,8.6167,GM,125,4,283,4,116,130,263,295
11087,48.6,11.6333,GM,116,9,286,8,104,132,271,307
9180,52.3,8.9167,GM,117,3,295,3,114,120,279,303
9198,51.7333,8.6833,GM,116,9,287,9,113,122,273,303
9200,51.7333,8.7167,GM,121,8,304,6,110,131,283,317
9269,51.6667,8.35,GM,110,9,286,9,106,115,257,298
1133,52.1014,11.2322,GM,110,5,286,5,106,117,273,307
9326,51.5,8.05,GM,111,3,278,3,107,115,261,289
9372,51.4333,7.5833,GM,116,5,292,5,106,126,284,299
9374,51.5833,7.6667,GM,118,10,289,10,112,129,256,299
9436,49.8667,9.0167,GM,115,8,282,9,100,123,259,300
9468,50.3333,8.75,GM,113,9,283,8,105,123,235,299
9500,49.9167,8.4833,GM,120,3,293,3,116,123,283,300
9530,50.1167,8.9167,GM,113,4,294,4,108,120,283,304
9536,51.1833,10.1167,GM,120,3,288,3,117,125,282,292
9833,50.15,8.75,GM,113,3,260,3,111,117,255,264
9837,50.1667,8.9833,GM,110,8,286,7,102,120,265,296
9860,50.1167,8.3667,GM,122,6,286,5,108,132,263,324
9942,50.45,7.2167,GM,125,3,281,3,122,130,273,288
1757,54.0967,13.4056,GM,124,11,280,11,112,137,259,299
9996,49.7833,7.65,GM,112,9,254,10,110,116,231,274
10151,50.1667,7.7333,GM,117,3,263,3,112,122,260,270
10216,49.0333,8,GM,111,5,294,5,107,115,282,324
10228,49.1167,8.15,GM,111,6,281,6,104,121,269,289
10230,49.5,7.9167,GM,120,3,284,3,119,122,276,290
10236,49.4667,7.5667,GM,118,3,256,3,117,120,253,259
10239,49.3833,7.6333,GM,116,3,280,3,113,120,269,290
10261,49.2667,8.2167,GM,110,6,282,6,105,117,266,294
10268,49.4571,8.2892,GM,105,4,270,4,98,112,263,275
10338,48.9333,9.3667,GM,115,5,278,5,109,122,246,291
10341,48.9833,9.3667,GM,119,4,273,4,111,131,257,291
10373,48.7244,9.2468,GM,111,13,284,13,101,120,252,300
10382,48.6833,9.5167,GM,120,3,290,3,112,127,285,299
10396,49.2167,9.1,GM,114,4,287,4,99,128,274,303
10403,49.0833,9.1,GM,108,9,283,8,100,113,253,301
10406,49.0833,9.15,GM,110,8,277,8,102,122,258,298
10432,49.05,9.1,GM,112,7,283,11,107,118,247,303
10487,49.0833,9.8833,GM,120,4,277,4,110,130,251,291
10491,48.5,10.1167,GM,117,3,266,3,116,120,255,284
10496,49.0667,8.8,GM,109,13,279,13,103,120,257,294
10511,48.8833,9.35,GM,107,3,291,3,103,115,281,307
10526,49.1,8.65,GM,110,15,278,15,102,120,260,299
10538,49.4,9.4,GM,108,3,274,3,100,117,261,298
10561,49.3833,8.8,GM,115,7,285,7,107,123,258,298
10570,49.0333,8.7,GM,112,14,284,14,104,120,256,305
10572,49.0833,8.3833,GM,112,13,276,13,105,120,258,300
10576,49.0167,8.5,GM,112,9,278,9,103,121,245,296
10578,48.9667,8.3,GM,119,8,268,8,107,127,252,284
10606,48.9,8.5667,GM,114,13,289,13,107,124,252,307
10612,49.1833,8.9833,GM,116,4,279,4,112,122,265,289
10616,49.3333,8.9167,GM,114,4,271,4,111,120,245,282
10619,49.3333,8.95,GM,112,4,285,4,110,116,278,289
10631,49.1,8.85,GM,114,9,289,8,105,130,268,306
10644,49.6833,9.6833,GM,110,5,274,6,104,121,263,286
10651,48.7,8.1333,GM,111,13,281,13,106,120,248,300
10653,48.6167,8.05,GM,107,12,277,12,100,118,255,314
2468,50.9352,12.6206,GM,113,6,283,6,106,122,258,295
10669,48.1167,8,GM,114,3,259,3,112,118,254,269
10672,48.1333,7.7,GM,109,13,282,13,101,119,246,297
10689,48.4667,7.8167,GM,108,3,272,3,106,110,256,282
10708,48.3333,7.8833,GM,104,9,298,9,80,122,287,307
10725,47.6,7.6333,GM,110,13,287,13,102,116,252,302
10729,47.8667,7.6,GM,108,10,273,9,100,118,263,287
10731,47.8167,7.6333,GM,108,12,285,13,99,118,238,307
10751,48.5333,8.0833,GM,129,3,289,3,115,155,245,320
10752,48.4667,7.95,GM,108,10,276,10,104,116,237,296
2561,49.7167,8.1167,GM,120,6,284,6,118,124,278,295
10767,47.6,7.8833,GM,116,8,282,8,108,128,253,309
10906,47.9333,9.55,GM,114,3,276,3,109,119,261,299
10951,47.7333,12.8833,GM,104,4,266,4,103,105,259,280
10962,47.8667,12.1333,GM,116,6,286,6,105,123,273,295
10964,48.4667,11.1333,GM,112,5,280,5,107,117,253,290
2878,51.391,11.8788,GM,113,3,279,3,112,115,261,290
11076,48.1167,11.7333,GM,108,3,285,4,103,113,271,303
11101,48.6333,11.3167,GM,121,6,282,6,114,135,273,289
11162,48.8333,12.9667,GM,109,8,285,8,103,122,278,291
11163,48.8833,12.6,GM,112,9,278,9,95,125,244,298
11174,48.8167,12.8,GM,110,8,280,8,103,122,275,290
11203,48.4,13.3167,GM,106,13,271,13,95,114,248,294
11211,48.9,12.0167,GM,110,3,289,4,107,112,279,296
11221,48.6167,12.2,GM,112,16,284,16,95,124,247,309
11224,48.5667,11.75,GM,120,6,289,5,114,129,269,304
11228,48.7333,12.3,GM,107,6,285,6,101,118,275,295
11241,48.4833,13.4333,GM,107,3,266,3,104,109,249,276
11243,48.3,13.15,GM,111,14,276,14,102,124,253,291
11245,48.4333,13.0167,GM,112,4,276,4,106,119,255,292
11246,48.3333,13.1167,GM,115,3,276,3,110,121,253,292
11249,48.4,13,GM,113,4,283,4,101,122,265,299
11251,48.9333,13.2,GM,130,3,283,3,122,135,281,285
11254,48.9667,13.1333,GM,121,3,287,3,120,122,279,293
11271,48.4667,12.5667,GM,115,6,279,6,103,120,242,298
11276,48.55,13.2333,GM,113,5,266,5,103,123,240,290
11309,49.5333,11.8,GM,124,3,267,3,120,130,263,274
11320,49.0333,11.4833,GM,109,7,278,7,102,118,257,289
11328,49.2667,11.9167,GM,108,5,278,5,105,115,245,293
11343,49.3833,11.65,GM,121,3,266,3,118,123,258,284
11403,48.9167,12.4333,GM,110,5,279,5,107,116,240,296
11411,48.9,11.6167,GM,113,12,289,12,106,123,258,308
11447,49.65,12.2667,GM,122,4,269,4,114,130,238,285
3478,53.5468,13.1914,GM,110,3,254,3,107,114,248,267
11715,49.3667,10.95,GM,115,3,273,3,108,122,251,286
