Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
662,52.2915,10.4464,PO,98,37,189,18,81,118,179,197
1580,49.9859,7.9549,PO,101,0,187,0,101,101,187,187
1691,51.5002,9.9507,PO,107,0,185,23,107,107,174,197
2561,49.7167,8.1167,PO,103,0,184,8,103,103,181,189
3023,52.5181,7.3081,PO,108,26,187,21,92,118,180,201
3815,52.2553,8.0534,PO,97,50,191,37,72,122,172,209
4039,53.7331,9.8776,PO,95,41,193,21,75,116,182,203
4466,54.5275,9.5487,PO,101,27,187,21,86,113,174,195
5100,49.7479,6.6582,PO,115,16,202,17,107,123,195,212
5250,48.0908,7.6353,PO,104,0,173,0,104,104,173,173
5404,48.4025,11.6946,PO,106,19,191,40,95,114,160,200
5705,49.7703,9.9577,PO,107,11,194,9,100,111,189,198
7501,54.7833,9.4333,PO,114,0,200,2,114,114,199,201
7509,54.4333,9.7,PO,110,13,203,35,103,116,188,223
7516,54.4,9.9667,PO,107,24,191,25,92,116,178,203
7518,54.4,9.85,PO,105,0,208,14,105,105,201,215
7519,54.4167,9.8833,PO,125,9,218,0,121,130,218,218
7526,54.4333,10.05,PO,111,15,181,0,104,119,181,181
7528,54.55,9.8167,PO,114,20,186,13,106,126,179,192
7532,54.4,8.7667,PO,125,0,200,0,125,125,200,200
7536,54.0167,10.5667,PO,108,23,190,20,98,121,181,201
7537,54,10.4833,PO,110,0,197,0,110,110,197,197
7539,53.95,10.6833,PO,108,27,196,20,90,117,186,206
7540,54.1333,10.6167,PO,106,13,194,11,99,112,186,197
7543,54.2167,10.6167,PO,112,14,196,0,104,118,196,196
7544,54.1833,10.55,PO,109,29,193,24,91,120,180,204
7546,53.95,10.7333,PO,105,33,188,12,87,120,184,196
7554,54.7333,9.5667,PO,112,10,204,41,106,116,181,222
7555,54.7,9.55,PO,109,16,187,22,100,116,178,200
7559,54.75,9.9,PO,110,20,183,32,99,119,163,195
7566,54.75,9.5167,PO,109,30,180,1,94,124,180,181
