climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
140,52.6861,11.4272,SU,100,15,299,15,73.0,113.0,279.0,320.0
183,54.6792,13.4343,SU,102,11,286,12,91.0,112.0,263.0,317.0
640,50.8685,12.7237,SU,100,6,294,6,91.0,116.0,277.0,314.0
662,52.2914,10.4465,SU,98,16,281,16,86.0,113.0,260.0,295.0
822,51.2066,14.2371,SU,102,8,279,9,94.0,115.0,257.0,293.0
1133,52.1014,11.2322,SU,97,16,290,16,73.0,112.0,253.0,322.0
1532,53.6865,11.0608,SU,97,16,280,16,80.0,113.0,257.0,305.0
1612,50.8813,12.1289,SU,103,9,283,10,79.0,124.0,269.0,312.0
1684,51.1622,14.9506,SU,107,6,289,5,92.0,118.0,283.0,294.0
1691,51.5003,9.9506,SU,99,7,288,8,80.0,116.0,262.0,310.0
1957,51.5138,11.9499,SU,97,6,269,7,93.0,106.0,256.0,288.0
2468,50.9352,12.6206,SU,106,11,278,10,97.0,118.0,264.0,295.0
2514,54.6667,9.9333,SU,103,7,290,7,83.0,125.0,271.0,309.0
2561,49.7167,8.1167,SU,82,8,266,8,74.0,94.0,257.0,275.0
2667,50.8646,7.1575,SU,95,5,274,5,76.0,113.0,251.0,296.0
2878,51.391,11.8788,SU,95,5,282,5,89.0,101.0,280.0,285.0
2928,51.3151,12.4462,SU,107,3,271,4,104.0,112.0,250.0,289.0
3126,52.1029,11.5827,SU,103,16,277,16,81.0,123.0,260.0,293.0
3196,53.3223,11.9319,SU,100,3,286,3,87.0,110.0,268.0,319.0
3302,51.0418,11.0062,SU,92,5,272,5,83.0,102.0,266.0,279.0
3314,52.1458,11.9563,SU,93,15,273,16,77.0,114.0,253.0,319.0
3478,53.5468,13.1914,SU,97,4,270,4,94.0,101.0,268.0,275.0
3637,51.5158,10.7739,SU,108,7,287,6,93.0,126.0,258.0,298.0
3684,51.2873,11.0183,SU,91,16,285,16,81.0,107.0,260.0,314.0
3761,49.207,9.5175,SU,96,6,283,6,78.0,117.0,268.0,302.0
3811,51.296,13.0928,SU,102,6,271,5,90.0,118.0,261.0,276.0
4466,54.5275,9.5487,SU,98,8,293,9,85.0,128.0,275.0,310.0
4642,52.8911,11.7297,SU,100,8,289,7,85.0,144.0,269.0,308.0
5142,53.7444,14.0697,SU,96,5,274,5,91.0,100.0,270.0,280.0
5404,48.4025,11.6946,SU,93,8,288,8,79.0,104.0,269.0,302.0
5750,51.0314,12.1495,SU,94,8,266,8,88.0,110.0,258.0,278.0
7504,54.3167,10.05,SU,101,4,285,4,91.0,112.0,269.0,309.0
7559,54.75,9.9,SU,92,5,290,5,83.0,104.0,279.0,303.0
7564,54.7167,9.95,SU,104,8,288,8,86.0,116.0,266.0,319.0
7566,54.75,9.5167,SU,95,16,279,16,71.0,116.0,259.0,302.0
7592,53.4833,10.6333,SU,100,16,278,14,73.0,117.0,259.0,298.0
7601,53.6167,10.7,SU,95,15,285,9,69.0,117.0,261.0,308.0
7604,53.7,10.7833,SU,86,4,284,8,72.0,99.0,265.0,306.0
7605,53.75,10.6167,SU,110,3,285,3,101.0,117.0,283.0,289.0
7608,53.5,10.4833,SU,94,13,282,12,73.0,127.0,271.0,305.0
7616,54.6167,8.9667,SU,95,14,286,14,83.0,120.0,264.0,305.0
7640,54.4333,11.2,SU,93,4,271,4,85.0,100.0,263.0,274.0
7646,54.25,10.8333,SU,97,16,282,16,77.0,115.0,265.0,290.0
7650,54.1,10.8167,SU,100,9,286,9,88.0,114.0,262.0,296.0
7676,54.1167,10.4833,SU,97,14,295,14,75.0,118.0,275.0,310.0
7682,54.3167,10.5,SU,98,5,290,5,79.0,112.0,268.0,305.0
7684,54.3567,10.182,SU,90,5,273,5,79.0,104.0,264.0,291.0
7700,54.1667,10.05,SU,93,10,297,9,79.0,106.0,272.0,325.0
7704,54.3167,9.6667,SU,94,3,281,3,91.0,99.0,263.0,303.0
7711,54.0833,9.65,SU,101,13,312,15,83.0,113.0,283.0,343.0
7721,54.1167,9.4333,SU,96,8,305,8,85.0,109.0,284.0,335.0
